author,title,description
Yes on 55,Organization from California,"The Yes on 55 campaign supports Proposition 55, a measure on the November 2016 ballot that would extend California's higher income tax rate to pay for schools."
Our Democracy 2020,,Our Democracy 2020 is a Madison-based coalition that formed in 2015 to push for voting rights and other government and election reforms.
One Wisconsin Now,Organization from Wisconsin,"One Wisconsin Now is a liberal advocacy group that focuses on advancing ""progressive leadership and values."""
Secure America Now,,"Secure America Now is an independent, non-profit group that claims 2 million members of all political stripes, united behind ""policies that will protect our nation against terrorist infiltration, attack and capitulation to our enemies."""
Vote NO on 8,None from Florida,"The Vote NO on 8 group is urging Florida residents to vote against Amendment 8, the class size amendment."
Yes on 8,None from Florida,"""Yes on 8 Florida"" is a group urging residents to vote in favor of Amendment 8, which would change a 2002 amendment about class sizes."
Richard August,Talk show host from Rhode Island,"Richard August, aka Sigmund Sauer, is a co-host on WHJJ's weekly radio show “Lock, Stock and Daria,” which discusses firearms-related issues."
Stop Gillnetting Now,Organization from Oregon,The Stop Gillnetting Now campaign is working to qualify a citizen initiative for the November ballot in Oregon.
Lee May,Democrat from Georgia,Lee May is the interim chief executive officer of DeKalb County government.
Wisconsin Jobs Now,None from Wisconsin,"Wisconsin Jobs Now is an advocacy group involved on jobs and education issues. It describes itself as ""a non-profit organization committed to fighting income inequality from the bottom up and building stronger communities throughout Wisconsin."""
R2RMerge,,R2RMerge is a student movement from Rutgers University-Camden. The group opposes the planned merger of Rutgers-Camden with Rowan University.
Glenn Beck,The PolitiFact scorecard,"Glenn Beck is the host of The Glenn Beck Program, a nationally syndicated talk-radio show. He also hosts an Internet-based TV show. Beck formerly hosted a television talk show on CNN Headline News and then Fox News."
Better Austin Today Political Action Committee,,"BATPAC, founded in 2007, calls itself a progressive coalition for Austin."
H. Marlene O'Toole,Republican from Florida,"Florida state Rep. H. Marlene O'Toole, a Republican who lives in Lady Lake, was first elected in 2008."
Michael M. Crow,,Michael M. Crow is Arizona State University's 16th president.
New Democratic Party,,
Hank Gilbert,Democrat from Texas,"Hank Gilbert, who raises cattle near Tyler, was the 2010 Democratic nominee for Texas agriculture commissioner. He won the party's 2006 nomination for the same post."
Barack Obama,Democrat from Illinois,"Barack Obama is the former president of the United States. Obama also served as a U.S. senator from Illinois. He was born in 1961 in Hawaii, where his parents met as students at the University of Hawaii. Obama's father is from Kenya and his mother is from Kansas. He graduated from Columbia University and received his law degree from Harvard Law School. Obama previously served in the Illinois state Senate and was an instructor at the University of Chicago Law School. He and his wife, Michelle, have two daughters, Malia and Sasha."
Donald Trump,Republican from New York,"Donald Trump is the president of the United States. He was elected the 45th president of the United States on Nov. 8, 2016.  He has been a real estate developer, entrepreneur and host of the NBC reality show, ""The Apprentice."" Trump's statements were awarded PolitiFact's 2015 and 2017 Lie of the Year. He received a bachelor's degree in economics from the Wharton School of the University of Pennsylvania. In February 2017, he officially announced he is running for the 2020 Republican nomination for president."
Sarah Eckhardt,Democrat from Texas,"Sarah Eckhardt, a lawyer, is a former assistant county attorney. She initially won election to the Travis County Commissioners Court in 2006 and in 2014 won election as the Travis County judge."
Sean Hannity,The PolitiFact scorecard,"Sean Hannity is a conservative political commentator and hosts a nationally syndicated radio show, as well as two television shows on the Fox News Channel. In a 2013 interview Hannity said that he is a “registered Conservative” and ”not a Republican, though people often mistake me for one.” Hannity has authored three books."
Kathy Castor,Democrat from Florida,"Kathy Castor is a member of the U.S. House of Representatives for Florida’s 14th Congressional district, which includes Tampa and St. Petersburg and parts of Hillsborough, Pinellas and Manatee counties. She was first elected in 2006."
Hillary Clinton,Democrat from New York,"Hillary Clinton was the 2016 Democratic nominee for president. She served as U.S. Secretary of State during the first four years of the Obama administration. She is formerly a U.S. senator from New York, first elected in 2000. She was a candidate for president in 2008. She previously served as first lady when her husband, Bill Clinton, served two terms as president. She was born in Chicago in 1947, graduated from Wellesley College and earned a law degree at Yale Law School. She and her husband have one daughter."
Jennifer Shilling,Democrat from Wisconsin,"Jennifer Shilling, a Democrat from La Crosse in western Wisconsin, was elected to the Wisconsin Assembly in 2000 and served there until winning election to the state Senate in 2011. Democrats elected her as their Senate leader in 2014."
Rush Limbaugh,The PolitiFact scorecard,"Rush Limbaugh is a conservative radio talk show host. His website describes him as ""America's Truth Detector; the Doctor of Democracy; the Most Dangerous Man in America; the All-Knowing, All-Sensing, All-Everything Maha Rushie; defender of motherhood, protector of fatherhood and an all-around good guy."""
