author,type
Yes on 55,Organization
One Wisconsin Now,Organization
Richard August,Journalist
Stop Gillnetting Now,Organization
Lee May,Democrat
Glenn Beck,Person
Better Austin Today Political Action Committee,Organization
H. Marlene O'Toole,Republican
Michael M. Crow,Person
New Democratic Party,Organization
Hank Gilbert,Democrat
Barack Obama,Democrat
Donald Trump,Republican
Sarah Eckhardt,Democrat
Sean Hannity,Person
Kathy Castor,Democrat
Hillary Clinton,Democrat
Jennifer Shilling,Democrat
Rush Limbaugh,Person
Richard Tomlins,Democrat
Scott Walker,Republican
Jeff DeWit,Republican
John McCain,Republican
Dan Patrick,Republican
Dale Kooyenga,Republican
League of Conservation Voters,Organization
Jeb Bush,Republican
Lloyd Doggett,Democrat
"Ron Castorina, Jr.",Republican
Michael Morell,Political
Loretta Weinberg,Democrat
Terry McAuliffe,Democrat
Tammy Baldwin,Democrat
Alberta Darling,Republican
Jason Isaac,Republican
Shirley Turner,Democrat
Republican Party of Wisconsin,Republican
Oregon Department of Fish and Wildlife,Organization
Ron Johnson,Republican
John Kasich,Republican
Todd Staples,Republican
Russ Feingold,Democrat
James Bennett,Journalist
Rick Boucher,Democrat
Rick Scott,Republican
Nina Turner,Democrat
Allan Fung,Republican
Allen West,Republican
Patrick Murphy,Democrat
Loranne Ausley,Democrat
Newt Gingrich,Republican
Byron Brown,Democrat
Bob McDonnell,Republican
Mitt Romney,Republican
Branko Radulovacki,Democrat
Stacey Abrams,Democrat
Chris Christie,Republican
Andrew Cuomo,Democrat
Tdtalliance.com,Organization
Farouk Shami,Democrat
Priorities USA Action,Organization
George Allen,Republican
Elizabeth Dennigan,Democrat
Steven Schale,Democrat
Joe Biden,Democrat
David Cicilline,Democrat
Will Herring,Person
Dennis Richardson,Republican
Rick Perry,Republican
Tom Craddick,Republican
Freedom Partners Action Fund,Organization
Adam Hasner,Republican
Dan Flynn,Republican
Jason Smith,Republican
Ron Paul,Republican
Dave Brat,Republican
Colleen Kiernan,Political
Lupe Valdez,Democrat
Tina Smith,Democrat
Dannel Malloy,Democrat
Charlie Crist,Democrat
Bob Stacey,Democrat
Kevin de León,Democrat
Tommy Thompson,Republican
Israel O'Quinn,Republican
Barry Hinckley,Republican
David Jolly,Republican
Mitch Daniels,Republican
Democratic National Committee,Organization
Ivanka Trump,Political
Mary Burke,Democrat
Bill O'Reilly,Political
Ed Gillespie,Republican
Bernie Sanders,Political
Wisconsin Contractor Coalition,Organization
Stephen Sweeney,Democrat
Jeff Kruse,Republican
John Skvarla,Republican
Republican Jewish Coalition,Republican
Leah Vukmir,Republican
Eric Cantor,Republican
Leticia Van de Putte,Democrat
Wendy Davis,Democrat
Republican Governors Association,Republican
Vincent Barrella,Political
Caleb Rowden,Republican
Rick Santorum,Republican
Ohio Federation of Teachers,Organization
Democratic Congressional Campaign Committee,Organization
Mario Diaz-Balart,Republican
Tom Daschle,Democrat
Ted Strickland,Democrat
Carl Heastie,Democrat
Sierra Club,Organization
Mike Stenhouse,Journalist
Senate Majority PAC,Democrat
Greg Abbott,Republican
Ernest Moniz,Democrat
Patrick Lynch,Democrat
New Boston Republican Committee,Republican
Marco Rubio,Republican
Sherrod Brown,Democrat
Paul Ryan,Republican
Facebook posts,Organization
Jim Patterson,Republican
David Frum,Republican
Joe Scarborough,Republican
Florida Department of Corrections worker,Organization
David Watts,Republican
Karen Handel,Republican
Debbie Wasserman Schultz,Democrat
Alison Lundergan Grimes,Democrat
Democratic Party of Wisconsin,Organization
Federation for American Immigration Reform,Organization
Sarah Palin,Republican
Chip Rogers,Republican
Cokie Roberts,Journalist
Christine Whitman,Republican
Roy Blunt,Republican
AFL-CIO,Organization
Michele Bachmann,Republican
Jim Whelan,Democrat
Paul Vallas,Democrat
Chet Edwards,Democrat
Rachel Maddow,Person
Ritch Workman,Republican
Kevin McCarthy,Republican
Chris Sununu,Republican
Jackie Dingfelder,Democrat
Bill Hammond,Republican
John Kerry,Democrat
Moms Demand Action for Gun Sense In America,Organization
James Inhofe,Republican
Paula Dockery,Republican
Richard Corcoran,Republican
Donna Shalala,Democrat
Mark Kirk,Republican
Ward Armstrong,Democrat
Michael Doherty,Person
Tom Cotton,Republican
