id,text,author,date,keywords,organization,rating
http://data.gesis.org/claimskg/creative_work/04d5eebd-276a-5fa6-b2ec-8da6cea3c702,Says Iowa Senate candidate Joni Ernst 'promises to shut down the Department of Education and abolish the EPA.',League of Conservation Voters,03/25/2019,"education,environment",politifact,TRUE
http://data.gesis.org/claimskg/creative_work/05b716c3-07f5-5da9-b595-ebde5274f475,Says Donald Trump has outlined 'policies that read like a Kremlin wish list.',Michael Morell,03/25/2019,"candidate biography,economy,energy,foreign policy,history,human rights,military,trade,transparency",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/0e8e6509-e884-57af-9c47-9210a8c9f59f,The United States' regulations 'are among the most difficult in the world.',Rick Scott,03/25/2019,"economy,environment,health care,regulation",politifact,FALSE
http://data.gesis.org/claimskg/creative_work/0eeac47e-256f-576a-9ed6-52d1b5c9d2b3,"Says her campaign platform includes the 'biggest investment in new, good-paying jobs since World War II.'",Hillary Clinton,03/25/2019,"economy,education,energy,federal budget,income,infrastructure,jobs,technology",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/1c4e3dab-fe97-5510-8e14-f80be274555e,"Says 'If Oregon’s Legislature simply authorizes $450 million for the CRC, it will … leave Oregon holding the bag for a great deal more cost responsibility.'",Bob Stacey,03/25/2019,"debt,economy,environment,infrastructure,state budget,transportation",politifact,FALSE
http://data.gesis.org/claimskg/creative_work/1d07fdb9-e5a4-5dbb-a9ff-e8d303b1fc95,"'More than 27,000 Rhode Island jobs depend on trade with Canada.'",Barry Hinckley,03/25/2019,"economy,energy",politifact,TRUE
http://data.gesis.org/claimskg/creative_work/1d16dfff-34c2-502d-a336-a79b8b4cde2a,'I did not — I did not — I do not say that. I do not say that' climate change is a hoax perpetrated by the Chinese.,Donald Trump,03/25/2019,"candidate biography,china,climate change,economy,energy,environment,history,science",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/20061788-a20d-5aeb-80d5-b25ba2aef33e,"The Chamber of Commerce says new carbon regulations will kill '244,000 jobs a year' and cost average families '$1,200 a year.'",Ed Gillespie,03/25/2019,"climate change,economy,environment,regulation",politifact,FALSE
http://data.gesis.org/claimskg/creative_work/270fe264-2f93-545f-a77d-94b4cd85d5f4,The Democrats’ Green New Deal includes 'working towards ending air travel.',Rick Scott,03/25/2019,"climate change,congress,environment,transportation",politifact,FALSE
http://data.gesis.org/claimskg/creative_work/2bbd5abf-a161-56e8-ba35-b71c13598f6c,'Our community (Tampa Bay) is one of the 10 most threatened by the sea level rise in the world.',Sierra Club,03/25/2019,"climate change,transportation",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/31c77dd7-f29d-5ac1-89e6-619b2b5f686a,California Gov. Jerry Brown’s budget 'cuts funds for local tree mortality efforts from $52.7 million to just $2 million.',Jim Patterson,03/25/2019,"environment,state budget,state finances,state government spending",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/39c70a34-2621-5f21-b004-312f48224245,"Says, 'I-205, six miles of which runs through my district, already carries more traffic than I-5.'",Jackie Dingfelder,03/25/2019,"environment,infrastructure,state budget,transportation",politifact,TRUE
http://data.gesis.org/claimskg/creative_work/5830f7cb-97e5-5de0-ba64-0fd0e35a5057,"By eliminating the public intervenor’s office, 'I was the first one to fire Kathleen Falk.'",Tommy Thompson,03/25/2019,"environment,state budget,state finances",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/597c2a87-03fb-553d-a85d-c4f4b3b83dd3,"'[Tailpipe emissions rules], if fully implemented with all the regulations that go with it, they will keep the temperature from rising nearly five one-hundredths of a degree Fahrenheit. By 2050.'",Ken Cuccinelli,03/25/2019,"climate change,environment,transportation",politifact,TRUE
http://data.gesis.org/claimskg/creative_work/60f455c3-3cca-5746-8607-7b1279884497,Florida's economy 'became a bad economy ... because of a huge spike in oil prices in the summer of 2008.',Rick Santorum,03/25/2019,"economy,florida,gas prices,housing,oil spill",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/63b9e675-0ada-50c7-bdb0-8af0f2a2c69c,"'Although the governor doubled the beach fees . . . all the money, as we found out, is all going to an out-of-state company. The state isn't even getting the money for that.'",John DePetro,03/25/2019,"economy,environment,history,pundits,recreation,state budget,state finances,tourism",politifact,FALSE
http://data.gesis.org/claimskg/creative_work/64a2048f-30ad-54ce-8a66-db00067acc9e,"Despite attention on global warming, 'fewer Americans carpool today to work than carpooled in 1980' and 'SUVs have never been a larger proportion of the vehicles being sold in this country.'",George Will,03/25/2019,"climate change,environment,transportation",politifact,MIXTURE
