id,text,date,keywords,organization,rating
http://data.gesis.org/claimskg/creative_work/9bc99b41-4794-5db6-b0ad-fe0cdee9c55d,California’s Prop 55 'prevents $4 billion in new cuts to our schools.',03/26/2055,"education,state finances",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/e6fcf064-6ccc-5a5b-b66f-a18fc4954ddb,"Says an election clerk in Green Bay refused to allow early voting on the UW-Green Bay campus because she 'was afraid it would help Democrats,' showing 'outrageous partisan bias.'",03/26/2020,"bipartisanship,city government,education,elections",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/07c995ba-5e94-5952-a308-c0823dd82247,Says state schools superintendent candidate Don Pridemore 'voted for the largest cuts to public education in our state history' and for '$2.3 billion in tax breaks for corporations and the wealthy.',12/03/2019,"corporations,education,small business,state budget,taxes",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/fc3a83f6-fe59-5b87-835a-b5708a615ebd,"'The Walton family, which owns Wal-Mart, controls a fortune equal to the wealth of the bottom 42 percent of Americans combined.'",11/27/2019,"corporations,economy,income,labor,wealth",politifact,TRUE
http://data.gesis.org/claimskg/creative_work/cea7537e-2707-53d3-a110-583b2f7fac07,"In his first meeting with University of Wisconsin System officials, Republican Governor elect Scott Walker told them to prepare for cuts.",11/09/2019,"education,state budget",politifact,FALSE
http://data.gesis.org/claimskg/creative_work/a06d30ae-18be-50a2-9144-6af7cf04a188,"Scott Walker was elected governor on a promise not to take campaign contributions 'from the date of his inauguration until the signing of the state budget,' but broke it by taking nearly $5.6 million.",09/26/2019,"campaign finance,elections,state budget",politifact,FALSE
http://data.gesis.org/claimskg/creative_work/08320275-d9ab-5ee7-a5c5-bc21eb65cfdd,'What is the maximum number of students allowed in your classroom? ... 30 or more!',08/26/2019,"children,education,florida amendments",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/8a5a0c3d-1f31-5772-9519-aeaa1f9e93ec,"'There currently are 825,000 student stations sitting empty across Florida in every district and at every grade level.'",08/26/2019,"children,education,florida amendments",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/1b4f1b71-73cf-536b-8d1f-849c10c1f48e,Wisconsin's $3 billion incentive offer to Foxconn is 'the largest gift ever by a state to a foreign company.',08/07/2019,"jobs,state budget,state government spending,states,taxes,technology",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/dddf1c4a-3660-56f9-98d8-a30b675a4271,Says Scott Walker 'wants state taxpayers to dole out up to $250 million annually in incentives' to Foxconn 'to lure a manufacturing plant to Wisconsin that he claims will generate $181 million in tax revenue.',07/28/2019,"china,economy,jobs,state government spending,taxes",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/d7ffe12a-9fb4-58f3-bc7f-df38091d8864,Says Gov. Scott Walker’s budget 'includes tax breaks for corporations and the rich that will cost the state of Wisconsin taxpayers $2.3 billion over the next decade.',06/24/2019,"state budget,taxes",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/5f33fe7e-3132-507a-ab0e-3c2c7a8270b4,"In the past year, DeKalb has 'attracted and retained more than 2,300 jobs.'",05/26/2019,"economy,jobs",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/5219be80-bbf4-5ed3-a093-7b3746dc7894,"Says Demond Means, 'turnaround district' superintendent for Milwaukee Public Schools, said the district 'needs to be gutted.'",04/28/2019,education,politifact,FALSE
http://data.gesis.org/claimskg/creative_work/b1108617-7669-5dc5-ba7c-b7708d99ce62,Says George Norcross said the 'TAKEOVER OF RUTGER$ CAMDEN WILL COST NEW JER$EY BILLION$.',04/15/2019,"education,state finances",politifact,FALSE
http://data.gesis.org/claimskg/creative_work/0fa5ec50-b10c-51bf-a0a8-9cb71234a2c2,Says Hillary Clinton 'makes more per hour at a speaking gig than the average CEO does in a year.',03/27/2019,"income,wealth,workers",politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/9f272968-19c1-59c1-a3a4-cc53fc6e372a,"'Under Randi Shade,' Austin has 'had the highest cost of living of any large Texas city.'",03/26/2019,economy,politifact,MIXTURE
http://data.gesis.org/claimskg/creative_work/ce803d35-bd57-5af0-bb23-ce53b1e701e3,"The delay in school testing 'was not that of a vendor, the problem was not that of the test materials itself, it was the product of a cyber attack.'",03/26/2019,education,politifact,MIXTURE
