feature;mi_score
the;0.5771635733196745
in;0.4101887985300605
of;0.36179048024632254
to;0.3005902226785823
and;0.20947467687992627
is;0.18841729688963893
for;0.17097907073711097
are;0.15226331913890212
that;0.13956822169806996
state;0.1381362541673108
in the;0.13778520618460302
have;0.1346988374900033
we;0.13423806348897785
than;0.1341912475510856
has;0.12630357267640532
percent;0.11601489876921148
more;0.10087733516951168
on;0.09293719100464319
not;0.09218372025531194
of the;0.0870181365271814
jobs;0.07590142648965492
it;0.07449891048610696
by;0.07267461619924752
from;0.06895716572823177
year;0.0674010179547068
our;0.06595632213319373
years;0.0655265320060665
million;0.06195881173475311
school;0.06177285567570355
tax;0.061225592545749476
states;0.06120895871065718
was;0.06026934518248475
at;0.05870668694367489
budget;0.05717694016895289
percent of;0.05545979312241678
we are;0.05424098029263813
wisconsin;0.05337845990975909
new;0.05318676585549311
as;0.053117848049475336
texas;0.05310833805670709
the state;0.05196904057389325
with;0.051115679687525145
billion;0.05075035077074005
over;0.047802302307623744
will;0.04745261641403577
one;0.04630051180269759
education;0.045549229485815634
people;0.04411883583496784
their;0.043123296917408
this;0.04245225238906631
public;0.041976874843393866
about;0.041187187614571255
since;0.041161542683294
or;0.04091960269105646
would;0.03983877965534792
united;0.039785923384174
they;0.039679374941751396
united states;0.039660235859453635
schools;0.03965546152390513
we have;0.03814833641279093
been;0.038146705238974586
an;0.03782878727015386
last;0.037719697822973214
out;0.03761645067030166
more than;0.037275734463245794
obama;0.037169264169518476
all;0.036552036593185226
be;0.036286781527941535
when;0.03605591004305286
now;0.0360541455438044
do;0.03602410879240038
under;0.03484138575205921
president;0.03482978339614981
only;0.034792370285236324
unemployment;0.034728232099877576
rate;0.03443569130232764
every;0.033615453736287146
money;0.03299950007294608
government;0.032716634429788435
scott;0.032445068886251836
he;0.032036953812609854
country;0.03200085125476204
his;0.03180509508460459
up;0.03177392500931017
average;0.031164813010511026
federal;0.030380503295646684
gov;0.030331199597215627
job;0.030224998117838495
spending;0.03009266917605095
economy;0.029885311057015713
there;0.029595288279384235
the united;0.029537632887129815
the united states;0.029412267872689038
to the;0.02928241039466165
who;0.029191090969877733
two;0.029034443990401504
time;0.028791687765708
any;0.028760529001651228
you;0.0287453429725749
if;0.028706543041355587
pay;0.02869519886420617
college;0.028588792506767463
governor;0.028472370293754372
students;0.028457442056827827
no;0.028346505652989698
for the;0.02790263004626787
cut;0.02758672394227075
had;0.02745673431901509
out of;0.02681862937066381
10;0.026632460642902957
nation;0.02657017032898485
high;0.026091950876573556
is the;0.025840865073880163
per;0.025497303543048445
walker;0.02529552243119662
scott walker;0.02479688599326136
income;0.02478477164334536
most;0.02433883852285517
the nation;0.023954496104213647
bill;0.023951418087237757
other;0.023815248795025126
taxes;0.023449896516597915
first;0.02238057159423718
did;0.022264249990698416
but;0.022202606312389912
just;0.022198956781960665
private;0.022125612339997595
dollars;0.022030610438327897
than the;0.021940373764882615
funding;0.021923858257851835
created;0.021841077052340088
ohio;0.021840278210164515
africa;0.021443300207206764
nearly;0.021263413951149376
georgia;0.021039226359626594
because;0.021038464557103488
employees;0.020808163588052573
check;0.020739398731032577
america;0.020652017286257308
today;0.020637139740118944
florida;0.020611063321039833
on the;0.02060547706216238
four;0.020490073752050114
the last;0.02036498332293876
said;0.0201846423959087
virginia;0.020038726202257422
do not;0.019984461330207547
the country;0.019953641849910768
less;0.019658220476138733
into;0.0195232113636271
economic;0.019388360733568477
office;0.019318792173552375
cost;0.019124639794491808
american;0.01906462112645837
three;0.018621227919442627
growth;0.018618726285303085
plan;0.018612859357816643
highest;0.018541402442934254
while;0.018436552588111707
system;0.01824672688925417
down;0.018245321777190023
wage;0.017766924045402657
africa check;0.017747367765047664
half;0.017604010224328837
barack;0.01753003470809894
health;0.01751411304567209
debt;0.01740128584392018
get;0.017352367272360825
student;0.017309220196641703
work;0.017303361495309595
care;0.017282703621805975
rhode;0.017187511136973088
barack obama;0.01708075763583041
law;0.017048292122899208
increase;0.017011808570391453
in the country;0.016908418269337696
it is;0.016907231627560807
history;0.016870767616684032
national;0.01660604755487572
50;0.016596348099360846
over the;0.016486469713871847
its;0.016470041486302607
island;0.016370561250002063
rhode island;0.016370561250002063
after;0.016232362462505676
took;0.016203516478905527
and the;0.01620005653679399
almost;0.01614744999962995
workers;0.016135274109962558
voted;0.016112404344388893
during;0.0159185114534328
fund;0.015681240937040108
in the nation;0.015580344559977624
higher;0.015532113521803094
day;0.01550086570051138
at the;0.01544312644124544
lost;0.015427693026534028
cuts;0.015381342549930737
even;0.01523781160023988
in the united;0.015122513758359777
state budget;0.015111111414785824
americans;0.01502851364355936
number;0.014986809856617728
rick;0.014915543613905574
university;0.014905699465432472
teachers;0.014886057122487565
sector;0.014619733861889061
has been;0.01452918120709
stimulus;0.014218458515372286
percent of the;0.014215242302000547
county;0.014160786982028231
the federal;0.014160786982028231
the first;0.014154461562544254
some;0.014049163988499914
2011;0.014002964283844725
state of;0.013968528351968691
world;0.013965080406711388
children;0.013955674555480468
have been;0.01391773741370604
so;0.013904092135853311
paid;0.013828712894567094
what;0.013791952682629817
going;0.013786453628642416
city;0.013727236096533209
business;0.013565131645486441
of our;0.013540920777148769
the highest;0.013540920777148769
25;0.013489765422652822
proposed;0.013403845506928
minimum;0.013387781112227718
billion in;0.013264021547312384
republican;0.013264021547312384
12;0.013261890875011614
jersey;0.013256303936226016
new jersey;0.013256303936226016
them;0.013241453464339158
trump;0.013228575679154904
unemployment rate;0.013215577693393928
one of;0.013053164115331233
right;0.012952018181979164
minimum wage;0.012901120234955115
top;0.012855523764101673
gov scott;0.012688362431380617
gov scott walker;0.012688362431380617
five;0.012644096375136256
from the;0.012626425444502844
off;0.012489592479527283
15;0.012329178528250957
private sector;0.012317236420209576
administration;0.01228642128105393
the average;0.012218946171009932
taxpayers;0.012200896185856198
which;0.012189161632995632
milwaukee;0.012114523033961115
much;0.012103009282922886
health care;0.012092457492030024
actually;0.012056556643957918
never;0.012044827142773723
lowest;0.011946923558278377
the most;0.011875957189236664
the world;0.011788300225174896
rates;0.01175442872438862
the state of;0.011751406336035587
my;0.011738880360014185
working;0.011690031758450684
spent;0.011638422554291105
go;0.011625703921877426
raise;0.011617765362259436
public schools;0.011613443917762242
increased;0.011608730531177558
can;0.011578866644598939
40;0.011488048564001357
past;0.011480290670901108
those;0.011477405178335726
program;0.011465588283525804
make;0.011426253501949878
still;0.011407420631596036
six;0.011400931060867071
times;0.011400559622056368
to be;0.01139283375779654
before;0.011388496427762847
tuition;0.011370575041746347
the national;0.011353251369530526
in our;0.011325521975870743
did not;0.011250630851889109
largest;0.011239975655450228
businesses;0.01113731491778923
ago;0.011128067322195897
district;0.011087736409147392
ever;0.011086497332760754
transportation;0.010914995085221644
in the state;0.010899388542777345
california;0.010874927720324487
spend;0.010864400546115989
high school;0.010812397527016036
20;0.01078716976239812
millions;0.01071371672305574
less than;0.010690688594636845
through;0.010613607848440225
austin;0.010611429260812589
by the;0.010536541152291887
costs;0.010529916845715068
million in;0.010523940318867655
your;0.010521638685865378
democrats;0.010515640559591045
class;0.010476025814008975
deficit;0.010469291559172493
that is;0.010437655880329404
two years;0.010415288878316418
claims;0.010408523502436654
department;0.010387283268679213
months;0.010365086566332088
the past;0.010365086566332088
jobs in;0.010244727921659999
oregon;0.010188093999558757
house;0.010173900260000528
take;0.010127613959796007
general;0.010027219333994603
in texas;0.00998649924734836
record;0.00993707751464842
