feature;mi_score
11 terrorist;0.5077450021512804
11 terrorist attacks;0.5077450021512804
11 terrorists;0.5077450021512804
20 years;0.5077450021512804
2017;0.5077450021512804
250000;0.5077450021512804
50000;0.5077450021512804
about bearing;0.5077450021512804
about bearing the;0.5077450021512804
aclu;0.5077450021512804
aclu has;0.5077450021512804
aclu has filed;0.5077450021512804
action against;0.5077450021512804
actions;0.5077450021512804
against the war;0.5077450021512804
aid to;0.5077450021512804
aid to israel;0.5077450021512804
alexandria;0.5077450021512804
alexandria ocasio;0.5077450021512804
alexandria ocasio cortez;0.5077450021512804
am the only;0.5077450021512804
among syrian;0.5077450021512804
among syrian refugees;0.5077450021512804
amount;0.5077450021512804
amount of;0.5077450021512804
an apology tour;0.5077450021512804
and against;0.5077450021512804
and gas;0.5077450021512804
and terrorist;0.5077450021512804
and told;0.5077450021512804
answer;0.5077450021512804
anti semitic;0.5077450021512804
apologize;0.5077450021512804
apologize for;0.5077450021512804
apology tour;0.5077450021512804
are at war;0.5077450021512804
are christian;0.5077450021512804
are either;0.5077450021512804
at the border;0.5077450021512804
at war;0.5077450021512804
attack on;0.5077450021512804
attack was;0.5077450021512804
avoid;0.5077450021512804
back on the;0.5077450021512804
barack obama began;0.5077450021512804
barack obama wants;0.5077450021512804
be in;0.5077450021512804
bearing;0.5077450021512804
bearing the;0.5077450021512804
bearing the costs;0.5077450021512804
because the;0.5077450021512804
because the united;0.5077450021512804
began his;0.5077450021512804
began his presidency;0.5077450021512804
bill which;0.5077450021512804
bob;0.5077450021512804
bomb;0.5077450021512804
brazil;0.5077450021512804
brazil to;0.5077450021512804
by american;0.5077450021512804
by obama;0.5077450021512804
carpet;0.5077450021512804
cartels;0.5077450021512804
cartels in;0.5077450021512804
chattanooga;0.5077450021512804
che;0.5077450021512804
che guevara;0.5077450021512804
co;0.5077450021512804
colorado;0.5077450021512804
comment;0.5077450021512804
common;0.5077450021512804
communists;0.5077450021512804
confirm;0.5077450021512804
congress would;0.5077450021512804
control of;0.5077450021512804
cortez;0.5077450021512804
cortez said;0.5077450021512804
cortez said we;0.5077450021512804
costs of;0.5077450021512804
country does;0.5077450021512804
country does not;0.5077450021512804
create;0.5077450021512804
david petraeus;0.5077450021512804
deliberately;0.5077450021512804
detainees swapped;0.5077450021512804
detainees swapped for;0.5077450021512804
did not get;0.5077450021512804
died in;0.5077450021512804
dismantle;0.5077450021512804
division;0.5077450021512804
do not know;0.5077450021512804
documents released;0.5077450021512804
does not pose;0.5077450021512804
draft;0.5077450021512804
dragged;0.5077450021512804
dragged through;0.5077450021512804
