feature;mi_score
the;0.00851933454277345
than;0.007308979918333271
of;0.007151893706949077
percent;0.005893042638533759
obama;0.005839799000213549
budget;0.005533435122220598
we;0.005489279863187306
mccain;0.00538205153741888
to;0.005359907849358754
one;0.005339481093487154
he would;0.005328410152253606
without;0.0052081190019860925
members;0.0051428908328681085
will;0.005061191021420589
attack;0.004920502424095512
no;0.004813709874910439
had;0.004643163816462724
held;0.004591488688799665
largest;0.004571988374544579
our federal;0.004492161438244317
defense;0.004481842743401807
war;0.0044580321341836935
three;0.0044174640733274815
four;0.004376697427950979
passed;0.004376697427950979
of the;0.004288038940845562
they;0.00424887228370145
you;0.0042143940763849155
people that;0.004159860036306634
2017;0.004159860036306633
man;0.004134834854099103
members of the;0.004098171403701655
depression;0.0040748037623300065
discretionary;0.0040748037623300065
of our federal;0.0040748037623300065
politics;0.0040748037623300065
politics with;0.0040748037623300065
than all;0.0040748037623300065
million;0.004058566897238101
words;0.004019086623638066
year;0.003960326449916574
still;0.003940677534748792
called;0.003938917872829149
part of;0.0039202283594363995
he;0.0039061526880954057
voted;0.0039038036995721285
these;0.0038434524793175976
trillion;0.003820289017543008
spending;0.0038145276327243944
illegal;0.0038070200716139374
iran;0.0038053682904460005
department;0.0037759073391812805
nuclear;0.0037414899554128016
sanctions;0.0037043005097297643
the largest;0.0036280091585791513
off the;0.0035954141423022437
single;0.0035805666241252613
barack;0.003575954354470237
barack obama;0.003575954354470237
funding;0.003560950832109111
not one;0.0035423377674129036
records;0.0035423377674129036
in the military;0.00349790397181347
the new;0.00349790397181347
is;0.003476305031866987
more than;0.0034705887230368623
debt;0.0034417367641845662
actually;0.003435133941260899
people;0.003418457735598634
in the;0.0033899337245009986
but;0.0033826952435177804
iraq;0.0033755919241222187
he will;0.003325635359175202
aid to;0.0033256353591752004
fire;0.0033256353591752004
terrorist attack in;0.0033256353591752004
attack in;0.003315443899071492
additional;0.0033077417341610344
amendment;0.0033077417341610344
fired;0.0033077417341610344
be;0.0032910738053931136
under;0.003266259902469811
serve;0.003243618850195331
health;0.003226937203478719
he was;0.003212417355810779
our military;0.0031997588259622964
conducted;0.003154743241172128
which;0.0031270626657348213
billion;0.003108373235812049
guard;0.0030989693598784543
isis;0.003082575668326055
allowed;0.0030591579381245206
are in;0.0030591579381245206
15;0.003059157938124519
and then;0.003059157938124519
sanctions against;0.003059157938124519
order;0.0030357329278105187
percent of;0.0029983626555556784
cuts;0.0029823436180171654
history;0.0029823436180171654
way;0.0029823436180171654
going;0.0029357746745514255
fighting;0.0029330151230693886
they have;0.0029251472836994245
muslim;0.002917947293050553
years;0.002914503105553596
in his first;0.002913751699618371
play;0.002913751699618371
on the;0.002884622092124041
navy;0.0028644351695955167
sen;0.002854257066848366
countries;0.0028447871035934425
military;0.002838094084643826
some;0.0028310124486320325
part;0.0028296472483297147
of our;0.0028204536714316174
governor;0.0028165696169727243
tour;0.0028165696169727243
with;0.0027908070102843872
any;0.002774421939515391
bill;0.0027477447294933146
radical;0.0027401058478298797
border;0.00271575064404007
1954;0.0027136187242416485
added;0.0027136187242416485
additional security;0.0027136187242416485
adults;0.0027136187242416485
an amendment;0.0027136187242416485
and what;0.0027136187242416485
barack obama had;0.0027136187242416485
barack obama will;0.0027136187242416485
blow;0.0027136187242416485
blow up;0.0027136187242416485
call for;0.0027136187242416485
call for change;0.0027136187242416485
change one;0.0027136187242416485
change one man;0.0027136187242416485
conducted in;0.0027136187242416485
connection;0.0027136187242416485
courage;0.0027136187242416485
courage to;0.0027136187242416485
courage to call;0.0027136187242416485
crimea was;0.0027136187242416485
department not;0.0027136187242416485
did not play;0.0027136187242416485
discretionary spending;0.0027136187242416485
egyptians;0.0027136187242416485
fastest;0.0027136187242416485
flawed;0.0027136187242416485
flawed strategy;0.0027136187242416485
flawed strategy in;0.0027136187242416485
for additional;0.0027136187242416485
for additional security;0.0027136187242416485
for american;0.0027136187242416485
for change;0.0027136187242416485
for change one;0.0027136187242416485
forces in iraq;0.0027136187242416485
full;0.0027136187242416485
geographic;0.0027136187242416485
grade;0.0027136187242416485
great depression;0.0027136187242416485
group and;0.0027136187242416485
had the courage;0.0027136187242416485
has added;0.0027136187242416485
have more military;0.0027136187242416485
he does;0.0027136187242416485
historically;0.0027136187242416485
husband;0.0027136187242416485
ii we;0.0027136187242416485
in iraq one;0.0027136187242416485
iraq one;0.0027136187242416485
iraq one man;0.0027136187242416485
is spending;0.0027136187242416485
israelis;0.0027136187242416485
it happened;0.0027136187242416485
just days;0.0027136187242416485
man did;0.0027136187242416485
man did not;0.0027136187242416485
man had;0.0027136187242416485
man had the;0.0027136187242416485
man opposed;0.0027136187242416485
man opposed flawed;0.0027136187242416485
math;0.0027136187242416485
mental;0.0027136187242416485
mental health;0.0027136187242416485
military experience;0.0027136187242416485
north korean;0.0027136187242416485
not play;0.0027136187242416485
not play politics;0.0027136187242416485
not read;0.0027136187242416485
nuclear power;0.0027136187242416485
obama had;0.0027136187242416485
obama will;0.0027136187242416485
obama will not;0.0027136187242416485
of egyptians;0.0027136187242416485
of florida;0.0027136187242416485
of russia;0.0027136187242416485
of the you;0.0027136187242416485
of this country;0.0027136187242416485
one man;0.0027136187242416485
one man did;0.0027136187242416485
one man had;0.0027136187242416485
one man opposed;0.0027136187242416485
opposed flawed;0.0027136187242416485
opposed flawed strategy;0.0027136187242416485
or more;0.0027136187242416485
our debt;0.0027136187242416485
our federal budget;0.0027136187242416485
part of russia;0.0027136187242416485
partition;0.0027136187242416485
passenger;0.0027136187242416485
payments;0.0027136187242416485
percent of egyptians;0.0027136187242416485
play politics;0.0027136187242416485
play politics with;0.0027136187242416485
politics with the;0.0027136187242416485
poll;0.0027136187242416485
prisons;0.0027136187242416485
propaganda;0.0027136187242416485
quarter;0.0027136187242416485
repeated requests for;0.0027136187242416485
requests for additional;0.0027136187242416485
road;0.0027136187242416485
says it;0.0027136187242416485
sen obama has;0.0027136187242416485
soldiers for;0.0027136187242416485
strategy;0.0027136187242416485
strategy in;0.0027136187242416485
strategy in iraq;0.0027136187242416485
supreme;0.0027136187242416485
taxpayers are;0.0027136187242416485
than the average;0.0027136187242416485
the average;0.0027136187242416485
the courage;0.0027136187242416485
the courage to;0.0027136187242416485
the fastest;0.0027136187242416485
this war;0.0027136187242416485
to blow;0.0027136187242416485
to blow up;0.0027136187242416485
to call for;0.0027136187242416485
to fighting;0.0027136187242416485
to increase;0.0027136187242416485
to three;0.0027136187242416485
used in;0.0027136187242416485
vaccine;0.0027136187242416485
voting for;0.0027136187242416485
voting for the;0.0027136187242416485
war crimes;0.0027136187242416485
war ii we;0.0027136187242416485
western;0.0027136187242416485
with the truth;0.0027136187242416485
without an;0.0027136187242416485
young adults;0.0027136187242416485
two;0.0026991070811367927
more;0.002696272517660271
executive order;0.002675794033050815
the border;0.002675794033050815
the united nations;0.002675794033050815
united nations;0.002675794033050815
coalition;0.002662336270935677
agreement;0.0026412485745644096
new;0.0026354439062477274
many;0.002634623048299759
never;0.002632723823742404
crimes;0.0026222772462550815
against iran;0.0026208445237792463
funding for;0.0026208445237792463
issue;0.0026208445237792463
regime;0.0026208445237792463
start;0.0026208445237792463
we could;0.0026208445237792463
with iran;0.0026208445237792463
are;0.0026001547154551694
opposed;0.002599151414231238
saying;0.0025895769144307556
if;0.0025875967887511817
asked;0.0025728666237051154
support;0.0025726189391047215
average;0.0025591502772569523
are still;0.002557113765008723
doubled;0.002557113765008723
of this;0.002557113765008723
to serve;0.002557113765008723
has;0.0025453621623985224
members of;0.0025084951515700806
has not;0.002501471942803757
position;0.002496649956670474
20 years;0.0024925404067880214
am the only;0.0024925404067880214
amount;0.0024925404067880214
amount of;0.0024925404067880214
apology tour;0.0024925404067880214
attack on;0.0024925404067880214
barack obama began;0.0024925404067880214
because the;0.0024925404067880214
began his;0.0024925404067880214
began his presidency;0.0024925404067880214
bomb;0.0024925404067880214
deliberately;0.0024925404067880214
detainees swapped;0.0024925404067880214
detainees swapped for;0.0024925404067880214
evidence of;0.0024925404067880214
for bowe;0.0024925404067880214
for bowe bergdahl;0.0024925404067880214
foreign aid to;0.0024925404067880214
former president;0.0024925404067880214
