author;title;description;type
Our Democracy 2020;nan;Our Democracy 2020 is a Madison-based coalition that formed in 2015 to push for voting rights and other government and election reforms.;
Secure America Now;nan;"Secure America Now is an independent, non-profit group that claims 2 million members of all political stripes, united behind ""policies that will protect our nation against terrorist infiltration, attack and capitulation to our enemies.""";
Vote NO on 8;None from Florida;The Vote NO on 8 group is urging Florida residents to vote against Amendment 8, the class size amendment.;
Yes on 8;None from Florida;"""Yes on 8 Florida"" is a group urging residents to vote in favor of Amendment 8, which would change a 2002 amendment about class sizes.";
Wisconsin Jobs Now;None from Wisconsin;"Wisconsin Jobs Now is an advocacy group involved on jobs and education issues. It describes itself as ""a non-profit organization committed to fighting income inequality from the bottom up and building stronger communities throughout Wisconsin.""";
R2RMerge;nan;R2RMerge is a student movement from Rutgers University-Camden. The group opposes the planned merger of Rutgers-Camden with Rowan University.;
Glenn Beck;The PolitiFact scorecard;Glenn Beck is the host of The Glenn Beck Program, a nationally syndicated talk-radio show. He also hosts an Internet-based TV show. Beck formerly hosted a television talk show on CNN Headline News and then Fox News.;
Better Austin Today Political Action Committee;nan;BATPAC, founded in 2007, calls itself a progressive coalition for Austin.;
Michael M. Crow;nan;Michael M. Crow is Arizona State University's 16th president.;
Sean Hannity;The PolitiFact scorecard;Sean Hannity is a conservative political commentator and hosts a nationally syndicated radio show, as well as two television shows on the Fox News Channel. In a 2013 interview Hannity said that he is a “registered Conservative” and ”not a Republican, though people often mistake me for one.” Hannity has authored three books.;
Rush Limbaugh;The PolitiFact scorecard;"Rush Limbaugh is a conservative radio talk show host. His website describes him as ""America's Truth Detector; the Doctor of Democracy; the Most Dangerous Man in America; the All-Knowing, All-Sensing, All-Everything Maha Rushie; defender of motherhood, protector of fatherhood and an all-around good guy.""";
Jeff DeWit;nan;Jeff DeWit was elected Arizona State Treasurer in November 2014.;
League of Conservation Voters;nan;The Washington, D.C.-based League of Conservation Voters, according to the nonpartisan Center for Responsive Politics, is “a liberal-leaning organization that raises money primarily in support of environmentally friendly public policy.”;
Michael Morell;nan;Michael Morell is the former deputy director of the CIA and is a senior security correspondent for CBS News.;
Chain email;The PolitiFact scorecard;Chain emails circulate on the Internet, usually anonymously, making a variety of political claims.;
Loretta Weinberg;nan;Loretta Weinberg is a Democratic state senator representing Bergen County.;
Mike Gallagher;nan;Republican Mike Gallagher of Green Bay was elected to the U.S. House of Representatives in November 2016. He is the senior global market strategist at Breakthrough Fuel, a Green Bay supply chain fuel management company. Gallagher previously served as a human intelligence and counterintelligence officer in the U.S. Marine Corps. He was a foreign policy aide to GOP Wisconsin Gov. Scott Walker's 2016 presidential campaign.;
Oregon Department of Fish and Wildlife;nan;"The Oregon Department of Fish and Wildlife says its mission ""is to protect and enhance Oregon's fish and wildlife and their habitats for use and enjoyment by present and future generations.""";
EmpowerED Georgia;None from Georgia;EmpowerED Georgia is an organization of an estimated 3,500 parents, students and teachers that aims to improve Georgia's public education system.;
Stacey Abrams;nan;Stacey Abrams, a Democrat, lost the Georgia governor's race in 2018. She is a former House Minority Leader for the Georgia General Assembly and State Representative for the 84th House District.;
Priorities USA Action;The PolitiFact scorecard;Priorities USA Action is a PAC that is supportive of President Barack Obama.;
Will Herring;None from Texas;Will Herring owns the Hubbard-based Wild Boar Meat Company.;
Colleen Kiernan;None from Georgia;Colleen Kiernan is director of the Georgia Sierra Club.;
Tom Bossert;nan;Tom Bossert, a former national security aide to President George W. Bush, serves as President Donald Trump's homeland security adviser.;
Israel O'Quinn;nan;Israel O'Quinn was elected to the House of Delegates in 2011. He represents the 5th district in Southwest Virginia and is the deputy majority whip in the House.;
Democratic National Committee;The PolitiFact scorecard;The Democratic National Committee is the national organization of Democrats.;
Ivanka Trump;nan;Ivanka Trump is an American businesswoman and the daughter of and assistant to President Donald Trump.;
Bill O'Reilly;The PolitiFact scorecard;Bill O'Reilly hosted The O'Reilly Factor on Fox News until 2017. He formerly worked as a television news reporter and has authored numerous books.;
Stephen Sweeney;nan;State Senate President Stephen Sweeney is a Democrat representing Salem County and parts of Gloucester and Cumberland counties.;
Kelda Helen Roys;The PolitiFact scorecard;Kelda Helen Roys, a Madison Democrat, was elected to the Wisconsin Assembly in 2008 and served until 2012. In 2012, she lost to Mark Pocan in the race for the Democratic nomination for the U.S. House of Representatives. She is running for the Democratic nomination for governor in 2018. An attorney, Roys is the former executive director of NARAL Pro-Choice Wisconsin, which supports abortion rights.;
Hunter Schwarz;nan;Hunter Scwarz is a reporter for the Washington Post.;
Ohio Federation of Teachers;None from Ohio;The Ohio Federation of Teachers represents more than 20,000 members in more than 50 locals across Ohio. Its members include include public education employees, higher education faculty and support staff and other public workers.;
Sid Covington;None from Texas;Businessman Sid Covington of Austin chairs the board of the Lone Star Rail District, based in San Marcos, Texas, is a public agency with a focus on developing a regional passenger rail line connecting San Antonio to Georgetown, north of Austin.;
Democratic Congressional Campaign Committee;The PolitiFact scorecard;The Democratic Congressional Campaign Committee is responsible for assisting Democratic candidates for the U.S. House.;
Tom Daschle;nan;Tom Daschle is a former U.S. senator from South Dakota.;
