Tuttle,{'journalistic'}
Tuttle 's article,{'alternative'}
New Jersey Gov. Chris Christie,"{'candidate_election', 'opposition'}"
Eli Stoklos,{'journalistic'}
an article from Politico,{'traditional'}
Sessions,{'opposition'}
the only well-known Republican,{'opposition'}
National Review 's Ian Tuttle,{'journalistic'}
Chris Christie,{'candidate_election'}
the New Jersey governor,"{'opposition', 'candidate_election'}"
Huckabee spokeswoman Alice Stewart,{'candidate_election'}
"Stuart Stevens , who was Mitt Romney 's top adviser in 2012",{'political'}
Stevens,{'political'}
Christie,"{'opposition', 'candidate_election'}"
Bush,"{'opposition', 'candidate_election', 'vox_pop_or_ordinary_people'}"
Kasich,{'candidate_election'}
Polls in New Hampshire,{'poll'}
"Michael Demastus , pastor of the Fort Des Moines Church of Christ and a Cruz supporter ,",{'religious'}
a CNN-ORC survey released Friday,{'poll'}
"Eric Woolson , who worked for Wisconsin Gov. Scott Walker before he dropped out , and guided Huckabee to victory in 2008",{'political'}
"conservative activist Bob Klaus , who is not affiliated with a candidate",{'activistic_or_syndicate'}
former Florida governor Jeb Bush,{'candidate_election'}
Jindal,{'candidate_election'}
"Steve Duprey , a Republican National Committee member from New Hampshire",{'opposition'}
a WBUR poll last week,{'poll'}
CBS News,{'traditional'}
Clinton and leading Democrats,{'political'}
Clinton,"{'government', 'candidate_election'}"
Sanders,"{'government', 'candidate_election', 'vox_pop_or_ordinary_people'}"
Reid,{'government'}
One Democratic official who relayed the exchange,{'government'}
"Sen. Robert P. Casey Jr. ( D-Pa . ) , a Clinton backer .",{'government'}
"Ben Jealous , a former NAACP leader and a Sanders supporter",{'political'}
some Sanders backers,{'agent'}
several senior Democrats,{'government'}
"others , including Sen. Jeff Merkley ( D-Ore . ) and Rep. RaÃ Âol M. Grijalva ( D-Ariz . ) ,",{'government'}
the Senate Democratic leader,{'government'}
Leading Democrats,{'government'}
Supporters of Sanders,{'agent'}
Merkley,{'government'}
Some Democrats,{'government'}
The Washington Post,{'traditional'}
from Sanders allies,{'agent'}
Democratic elected officials and party leaders,{'government'}
Warren,{'government'}
"Tad Devine , a senior strategist for Sanders",{'candidate_election'}
"former Vermont governor Howard Dean ( D ) , a Clinton supporter",{'government'}
A Warren adviser,{'government'}
"Warren , whose liberal base is the same that fueled Sanders 's candidacy ,",{'government'}
The new poll of voters in all 50 states,{'poll'}
An average of 10 percent of registered voters,{'vox_pop_or_ordinary_people'}
Trump 's,{'candidate_election'}
the 50-state poll,{'poll'}
a 2015 Pew Research survey,{'poll'}
The Post-SurveyMonkey poll,{'poll'}
Gove,{'government'}
a team at the University of Missouri,{'scientific_or_analystic_expert'}
one witness,{'political'}
Oregon occupier,{'journalistic'}
Santilli,{'journalistic'}
Deborah Jordan Reynolds - Santilli 's girlfriend and co-host on his YouTube channel -,{'celebrities_or_artistic'}
Reynolds,{'celebrities_or_artistic'}
his first videos,{'visual_or_audio_recording'}
his first YouTube dispatches,{'visual_or_audio_recording'}
Geraldo Rivera,{'activistic_or_syndicate'}
"J.J. MacNab , an expert on militias and anti-government extremist organizations in the United States",{'scientific_or_analystic_expert'}
MacNab,{'scientific_or_analystic_expert'}
Bundy,{'activistic_or_syndicate'}
the Secret Service,{'police'}
Howard Stern,{'celebrities_or_artistic'}
"Santilli 's attorney , Thomas Coan ,",{'juridical'}
the ACLU of Oregon,{'activistic_or_syndicate'}
"Matdos Santos , legal director for ACLU of Oregon ,",{'activistic_or_syndicate'}
First Amendment activists,{'activistic_or_syndicate'}
dos Santos,{'activistic_or_syndicate'}
"Coan , Santilli 's attorney ,",{'juridical'}
"Suckling , who is executive director of the Center for Biological Diversity",{'activistic_or_syndicate'}
U.S. District Judge Michael W. Mosman,{'juridical'}
